10001,SRIMVH,SLZCISTEWL,1467048332 Dell Way,,DXPGGAE,,00000,UK,2,SLZCISTEWL@dell.com,1467048332,5,1281093623023480,2012/09,user10001,password,44,80000,F
10002,QDEMFI,TGBSWAJVZH,5268264831 Dell Way,,EVVMGTY,,00000,Chile,2,TGBSWAJVZH@dell.com,5268264831,3,9600615079514682,2010/12,user10002,password,57,100000,F
10003,VHHZGO,WPDNKBNJZZ,5035397858 Dell Way,,APRZAZP,,00000,Germany,2,WPDNKBNJZZ@dell.com,5035397858,3,6207322841510177,2008/07,user10003,password,21,20000,M
10004,PUDOVQ,PERBMQNKDH,3014055309 Dell Way,,GNXDYYF,,00000,Russia,2,PERBMQNKDH@dell.com,3014055309,4,8303288342896849,2011/07,user10004,password,75,40000,F
10005,UTOHSN,WIQOPCPAKE,4615288971 Dell Way,,HHBFHKE,,00000,Canada,2,WIQOPCPAKE@dell.com,4615288971,5,5996499293483794,2009/01,user10005,password,90,80000,F
10006,NDHPGA,YTPICAXBVF,2849008574 Dell Way,,DYNRYLI,,00000,Australia,2,YTPICAXBVF@dell.com,2849008574,5,8045294675044715,2012/05,user10006,password,64,100000,M
10007,SQPGVZ,GUXQWQGAHU,9239291622 Dell Way,,YQXYHBL,,00000,UK,2,GUXQWQGAHU@dell.com,9239291622,3,7937470161821693,2011/08,user10007,password,37,40000,M
10008,SICPUH,HVEHWVZHGW,8612381885 Dell Way,,NQAWGYF,,00000,Canada,2,HVEHWVZHGW@dell.com,8612381885,3,9792381008621304,2011/09,user10008,password,33,100000,F
10009,NLNVRH,JIVFUCXSTZ,4185278773 Dell Way,,TEZYTIQ,,00000,Russia,2,JIVFUCXSTZ@dell.com,4185278773,3,4720853770151734,2011/02,user10009,password,81,100000,M
10010,HCVBJW,YMJJDWDKFB,3169929166 Dell Way,,IAFYAZZ,,00000,Germany,2,YMJJDWDKFB@dell.com,3169929166,5,5174202648922801,2010/06,user10010,password,75,40000,M
10011,YTERNM,GCXMYXEMOS,5645142690 Dell Way,,BSOBWST,,00000,Russia,2,GCXMYXEMOS@dell.com,5645142690,4,9460130656603724,2010/10,user10011,password,85,100000,F
10012,REKRDZ,VYHHLPNFXT,8735460783 Dell Way,,QILUYFZ,,00000,Russia,2,VYHHLPNFXT@dell.com,8735460783,1,7999780031386763,2012/01,user10012,password,76,100000,F
10013,VAQKRA,DNBMJHBPCH,3173319269 Dell Way,,CUHMESJ,,00000,Chile,2,DNBMJHBPCH@dell.com,3173319269,3,2046680900733918,2008/05,user10013,password,57,20000,F
10014,QLPYOD,SYABTJNUEB,1107953527 Dell Way,,UZAGBQQ,,00000,UK,2,SYABTJNUEB@dell.com,1107953527,5,6484831407200545,2012/08,user10014,password,61,20000,M
10015,UAJVZB,LTPDWRZRWA,4561604768 Dell Way,,CMVYPBF,,00000,China,2,LTPDWRZRWA@dell.com,4561604768,3,6969626994803548,2010/09,user10015,password,62,100000,F
10016,KCOUMA,PUROFHHSBH,7220695203 Dell Way,,ZCNUCDZ,,00000,China,2,PUROFHHSBH@dell.com,7220695203,5,9071840815246104,2011/04,user10016,password,41,80000,F
10017,VGCLSU,YYJYKZOQZX,6286749370 Dell Way,,GVJGASQ,,00000,South Africa,2,YYJYKZOQZX@dell.com,6286749370,5,5231341747567057,2009/01,user10017,password,61,60000,F
10018,BVCXQR,CLYAYDRDTY,8898948212 Dell Way,,BLOWVXJ,,00000,Australia,2,CLYAYDRDTY@dell.com,8898948212,3,1223720715381205,2010/11,user10018,password,50,100000,F
10019,KGEONI,YXLMZJBOMK,5177311865 Dell Way,,ZMKEIKA,,00000,Japan,2,YXLMZJBOMK@dell.com,5177311865,5,8489480515941978,2012/12,user10019,password,67,60000,F
10020,ISKVTK,FOQJWCOMPY,9222616492 Dell Way,,XTMCNFC,,00000,Australia,2,FOQJWCOMPY@dell.com,9222616492,2,4071928670629859,2008/01,user10020,password,36,60000,F
10021,DIKRAP,DNKZVWZJRH,9446259927 Dell Way,,KZXPZPF,,00000,France,2,DNKZVWZJRH@dell.com,9446259927,5,7056397168897092,2012/02,user10021,password,39,20000,F
10022,ESJMBK,RKYJLUSGMO,1390400174 Dell Way,,RVBLTDO,,00000,Chile,2,RKYJLUSGMO@dell.com,1390400174,3,7299897440709174,2009/02,user10022,password,22,80000,M
